time,n0v,n1v
61.8,-54.393,-68.8362
61.9,-54.3933,-68.8254
62,-54.3945,-68.8111
62.1,-54.3973,-68.797
62.2,-54.3997,-68.7847
62.3,-54.4034,-68.7714
62.4,-54.4114,-68.7576
62.5,-54.412,-68.7425
62.6,-54.418,-68.7288
62.7,-54.4187,-68.713
62.8,-54.4209,-68.6967
62.9,-54.4262,-68.6849
63,-54.4317,-68.6715
63.1,-54.4392,-68.6584
63.2,-54.4434,-68.644
63.3,-54.4474,-68.6289
63.4,-54.4519,-68.6134
63.5,-54.4542,-68.599
63.6,-54.4569,-68.5845
63.7,-54.4616,-68.5697
63.8,-54.4693,-68.5547
63.9,-54.4706,-68.5399
64,-54.4734,-68.525
64.1,-54.4774,-68.5097
64.2,-54.4861,-68.4944
64.3,-54.4892,-68.4789
64.4,-54.494,-68.4616
64.5,-54.4963,-68.4476
64.6,-54.5005,-68.4333
64.7,-54.5045,-68.4155
64.8,-54.5091,-68.4016
64.9,-54.5124,-68.3861
65,-54.5181,-68.3701
65.1,-54.5229,-68.3556
65.2,-54.5253,-68.3409
65.3,-54.5282,-68.3266
65.4,-54.5291,-68.3095
65.5,-54.5301,-68.2919
65.6,-54.5335,-68.2789
65.7,-54.5383,-68.2635
65.8,-54.5391,-68.2456
65.9,-54.5414,-68.2278
66,-54.5468,-68.2113
66.1,-54.5473,-68.1968
66.2,-54.554,-68.1812
66.3,-54.5553,-68.1631
66.4,-54.5607,-68.1442
66.5,-54.5615,-68.1264
66.6,-54.5674,-68.1083
66.7,-54.5703,-68.0914
66.8,-54.5727,-68.0771
66.9,-54.5749,-68.059
67,-54.5837,-68.0408
67.1,-54.5895,-68.0249
67.2,-54.5938,-68.0076
67.3,-54.5947,-67.9891
67.4,-54.601,-67.9713
67.5,-54.603,-67.9539
67.6,-54.6034,-67.937
67.7,-54.6025,-67.9182
67.8,-54.6087,-67.8986
67.9,-54.6133,-67.8816
68,-54.6164,-67.8608
68.1,-54.6199,-67.8421
68.2,-54.6207,-67.824
68.3,-54.6238,-67.8054
68.4,-54.6284,-67.7868
68.5,-54.6328,-67.7663
68.6,-54.6414,-67.748
68.7,-54.6426,-67.7295
68.8,-54.645,-67.7102
68.9,-54.6509,-67.6919
69,-54.659,-67.6733
69.1,-54.667,-67.6541
69.2,-54.6693,-67.632
69.3,-54.6726,-67.6124
69.4,-54.6798,-67.5931
69.5,-54.6829,-67.5734
69.6,-54.6845,-67.5524
69.7,-54.6854,-67.5338
69.8,-54.6878,-67.5122
69.9,-54.6967,-67.492
70,-54.6992,-67.4708
70.1,-54.7052,-67.4505
70.2,-54.71,-67.4279
70.3,-54.7112,-67.4058
70.4,-54.7163,-67.3836
70.5,-54.7185,-67.3623
70.6,-54.7212,-67.341
70.7,-54.7262,-67.3203
70.8,-54.7274,-67.2986
70.9,-54.7271,-67.2781
71,-54.7292,-67.2557
71.1,-54.7334,-67.2346
71.2,-54.7382,-67.2132
71.3,-54.7433,-67.1924
71.4,-54.7534,-67.1693
71.5,-54.7547,-67.1481
71.6,-54.7552,-67.1258
71.7,-54.7616,-67.1023
71.8,-54.7611,-67.0806
71.9,-54.7649,-67.0582
72,-54.7665,-67.0359
72.1,-54.7696,-67.012
72.2,-54.7704,-66.9888
72.3,-54.7731,-66.9664
72.4,-54.7756,-66.942
72.5,-54.7796,-66.9206
72.6,-54.7847,-66.899
72.7,-54.7914,-66.8739
72.8,-54.7945,-66.85
72.9,-54.7959,-66.825
73,-54.8008,-66.8005
73.1,-54.8007,-66.7772
73.2,-54.7994,-66.7531
73.3,-54.7972,-66.729
73.4,-54.8042,-66.7039
73.5,-54.8069,-66.6793
73.6,-54.8086,-66.6554
73.7,-54.8114,-66.6299
73.8,-54.816,-66.6044
73.9,-54.8184,-66.5797
