time,n0v,n1v
56.4,-78.8837,-63.4544
56.5,-78.5853,-63.453
56.6,-78.2807,-63.4536
56.7,-77.9737,-63.4542
56.8,-77.6653,-63.4565
56.9,-77.3547,-63.4607
57,-77.0459,-63.4664
57.1,-76.7398,-63.472
57.2,-76.4292,-63.4782
57.3,-76.1245,-63.4864
57.4,-75.8194,-63.4953
57.5,-75.5188,-63.504
57.6,-75.2198,-63.515
57.7,-74.9206,-63.5261
57.8,-74.6369,-63.5395
57.9,-74.3507,-63.5533
58,-74.0685,-63.5673
58.1,-73.7919,-63.5831
58.2,-73.5209,-63.5992
58.3,-73.2538,-63.6152
58.4,-72.9923,-63.6331
58.5,-72.7354,-63.6504
58.6,-72.4813,-63.6691
58.7,-72.2359,-63.6877
58.8,-72,-63.7068
58.9,-71.7631,-63.7272
59,-71.5336,-63.7455
59.1,-71.3094,-63.7664
59.2,-71.0885,-63.7864
59.3,-70.878,-63.8065
59.4,-70.6689,-63.8276
59.5,-70.4659,-63.8495
59.6,-70.2677,-63.8706
59.7,-70.0761,-63.8915
59.8,-69.8891,-63.9132
59.9,-69.7082,-63.9347
60,-69.5324,-63.9554
60.1,-69.3619,-63.9776
60.2,-69.1939,-63.9998
60.3,-69.03,-64.0223
60.4,-68.8696,-64.0444
60.5,-68.7135,-64.0663
60.6,-68.5643,-64.0883
60.7,-68.4181,-64.1113
60.8,-68.2766,-64.1337
60.9,-68.1387,-64.1558
61,-68.0054,-64.1776
61.1,-67.8739,-64.1997
61.2,-67.7472,-64.2215
61.3,-67.6244,-64.2435
61.4,-67.5046,-64.2648
61.5,-67.3882,-64.286
61.6,-67.2736,-64.308
61.7,-67.1632,-64.3292
61.8,-67.0545,-64.3504
61.9,-66.9504,-64.3708
62,-66.8489,-64.3917
62.1,-66.7499,-64.4124
62.2,-66.6536,-64.4326
62.3,-66.5596,-64.4527
62.4,-66.4675,-64.4727
62.5,-66.3789,-64.4926
62.6,-66.2919,-64.5121
62.7,-66.2078,-64.5317
62.8,-66.1258,-64.551
62.9,-66.0455,-64.5696
63,-65.9672,-64.5881
63.1,-65.8908,-64.6063
63.2,-65.8166,-64.6244
63.3,-65.7442,-64.6423
63.4,-65.6737,-64.66
63.5,-65.605,-64.6773
63.6,-65.538,-64.6943
63.7,-65.4724,-64.7111
63.8,-65.4084,-64.7276
63.9,-65.3461,-64.7438
64,-65.2852,-64.7597
64.1,-65.2257,-64.7753
64.2,-65.1675,-64.7907
64.3,-65.1107,-64.8057
64.4,-65.0552,-64.8206
64.5,-65.0009,-64.8349
64.6,-64.9479,-64.849
64.7,-64.8959,-64.8629
64.8,-64.8451,-64.8764
64.9,-64.7954,-64.8896
65,-64.7468,-64.9025
65.1,-64.6991,-64.9151
65.2,-64.6524,-64.9274
65.3,-64.6067,-64.9393
65.4,-64.5617,-64.951
65.5,-64.5177,-64.9624
65.6,-64.4746,-64.9734
65.7,-64.4323,-64.9841
65.8,-64.3907,-64.9945
65.9,-64.3499,-65.0046
66,-64.3101,-65.0144
66.1,-64.2707,-65.0238
66.2,-64.2324,-65.033
66.3,-64.1943,-65.0418
66.4,-64.1573,-65.0503
66.5,-64.1205,-65.0584
66.6,-64.0847,-65.0663
66.7,-64.0493,-65.0738
66.8,-64.0144,-65.0812
66.9,-63.98,-65.0881
67,-63.9468,-65.0946
67.1,-63.9139,-65.101
67.2,-63.8813,-65.107
67.3,-63.8488,-65.1126
67.4,-63.8174,-65.1179
67.5,-63.7859,-65.123
67.6,-63.7547,-65.1278
67.7,-63.7237,-65.1321
67.8,-63.6941,-65.1362
67.9,-63.6647,-65.14
68,-63.6354,-65.1434
68.1,-63.6066,-65.1465
68.2,-63.5778,-65.1494
68.3,-63.5497,-65.1519
68.4,-63.5221,-65.1542
68.5,-63.4948,-65.156
68.6,-63.4685,-65.1577
68.7,-63.4414,-65.1591
68.8,-63.4147,-65.1601
68.9,-63.3889,-65.1608
69,-63.3638,-65.1613
69.1,-63.3389,-65.1614
69.2,-63.3133,-65.1611
69.3,-63.2882,-65.1606
69.4,-63.264,-65.1598
69.5,-63.2393,-65.1588
69.6,-63.2146,-65.1573
69.7,-63.19,-65.1558
69.8,-63.1659,-65.1537
69.9,-63.1432,-65.1514
70,-63.1196,-65.1489
70.1,-63.0969,-65.146
70.2,-63.0741,-65.1428
70.3,-63.0508,-65.1393
70.4,-63.0284,-65.1355
70.5,-63.0057,-65.1315
70.6,-62.9833,-65.1272
70.7,-62.9615,-65.1226
70.8,-62.9392,-65.1178
70.9,-62.9167,-65.1127
71,-62.8948,-65.1072
71.1,-62.8736,-65.1015
71.2,-62.8527,-65.0956
71.3,-62.832,-65.0894
71.4,-62.8125,-65.0828
71.5,-62.7912,-65.076
71.6,-62.7699,-65.069
71.7,-62.7501,-65.0616
71.8,-62.7288,-65.054
71.9,-62.7087,-65.0461
72,-62.6882,-65.0379
72.1,-62.6682,-65.0294
72.2,-62.6478,-65.0207
72.3,-62.6279,-65.0117
72.4,-62.6081,-65.0025
72.5,-62.5888,-64.993
72.6,-62.5699,-64.9832
72.7,-62.5515,-64.9732
72.8,-62.5323,-64.9629
72.9,-62.5128,-64.9523
73,-62.4943,-64.9415
73.1,-62.4747,-64.9304
73.2,-62.4548,-64.9191
73.3,-62.4348,-64.9074
73.4,-62.4173,-64.8956
73.5,-62.3988,-64.8835
73.6,-62.3801,-64.8711
73.7,-62.3618,-64.8585
73.8,-62.3441,-64.8457
73.9,-62.3259,-64.8325
74,-62.3082,-64.8191
74.1,-62.2907,-64.8054
74.2,-62.2732,-64.7915
74.3,-62.2558,-64.7773
74.4,-62.2374,-64.7628
74.5,-62.2192,-64.7481
74.6,-62.202,-64.7332
74.7,-62.1856,-64.7181
74.8,-62.1685,-64.7027
74.9,-62.1508,-64.6868
75,-62.1325,-64.6707
75.1,-62.1163,-64.6546
75.2,-62.0991,-64.638
75.3,-62.0811,-64.6213
75.4,-62.0645,-64.6043
75.5,-62.0476,-64.587
75.6,-62.0306,-64.5696
75.7,-62.0149,-64.5516
75.8,-61.9979,-64.5333
75.9,-61.9815,-64.5153
76,-61.9659,-64.497
76.1,-61.9482,-64.4779
76.2,-61.9316,-64.4591
76.3,-61.9142,-64.4397
76.4,-61.8968,-64.4201
76.5,-61.8805,-64.4002
76.6,-61.8646,-64.3801
76.7,-61.8488,-64.3604
76.8,-61.833,-64.3398
76.9,-61.8177,-64.3192
77,-61.802,-64.2984
77.1,-61.7856,-64.2767
77.2,-61.771,-64.2559
77.3,-61.7555,-64.2342
77.4,-61.7374,-64.2123
77.5,-61.7217,-64.1901
77.6,-61.7064,-64.167
77.7,-61.6919,-64.1442
77.8,-61.6764,-64.122
77.9,-61.6608,-64.0987
78,-61.6451,-64.0746
78.1,-61.63,-64.0506
78.2,-61.6137,-64.026
78.3,-61.5981,-64.0021
78.4,-61.5821,-63.9775
78.5,-61.5651,-63.9531
78.6,-61.5502,-63.928
78.7,-61.5349,-63.9013
78.8,-61.5196,-63.8761
78.9,-61.5041,-63.8507
